Tempo (s);  Valore Fotoresistenza
1.50;       839.00
1.59;       839.00
1.69;       839.00
1.77;       839.00
1.88;       839.00
1.96;       839.00
2.09;       839.00
2.16;       839.00
2.27;       839.00
2.35;       839.00
2.45;       839.00
2.54;       839.00
2.64;       839.00
2.71;       839.00
2.83;       839.00
2.90;       839.00
3.03;       839.00
3.09;       839.00
3.22;       839.00
3.29;       839.00
3.36;       839.00
3.50;       839.00
3.57;       839.00
3.65;       839.00
3.77;       839.00
3.83;       839.00
3.93;       839.00
4.04;       839.00
4.13;       839.00
4.26;       839.00
4.31;       839.00
4.45;       837.00
4.52;       835.00
4.59;       835.00
4.68;       835.00
4.84;       837.00
4.91;       839.00
4.98;       839.00
5.06;       839.00
5.19;       839.00
5.28;       839.00
5.38;       839.00
5.45;       839.00
5.53;       839.00
5.66;       839.00
5.72;       839.00
5.83;       839.00
5.94;       839.00
6.00;       839.00
6.09;       839.00
6.23;       839.00
6.28;       839.00
6.42;       839.00
6.48;       839.00
6.60;       839.00
6.68;       839.00
6.74;       839.00
6.88;       839.00
6.97;       839.00
7.08;       839.00
7.17;       839.00
7.24;       839.00
7.31;       839.00
7.44;       839.00
7.53;       839.00
7.59;       839.00
7.72;       839.00
7.78;       839.00
7.90;       839.00
7.96;       839.00
8.08;       839.00
8.20;       839.00
8.26;       839.00
8.38;       839.00
8.44;       839.00
8.55;       839.00
8.62;       839.00
8.74;       839.00
8.80;       839.00
8.92;       839.00
8.99;       839.00
9.11;       839.00
9.18;       839.00
9.30;       839.00
9.37;       839.00
9.49;       839.00
9.56;       839.00
9.70;       839.00
9.75;       839.00
9.87;       839.00
9.93;       839.00
10.03;       839.00
10.15;       839.00
10.21;       839.00
10.32;       839.00
10.43;       839.00
10.49;       839.00
10.60;       839.00
10.71;       839.00
10.78;       836.00
10.88;       836.00
11.00;       836.00
11.06;       836.00
11.17;       836.00
11.30;       839.00
11.36;       839.00
11.43;       839.00
11.55;       839.00
11.62;       839.00
11.73;       839.00
11.84;       839.00
11.90;       839.00
12.01;       839.00
12.13;       839.00
12.18;       839.00
12.30;       839.00
12.41;       839.00
12.47;       839.00
12.58;       839.00
12.70;       839.00
12.75;       839.00
12.86;       839.00
12.93;       839.00
13.03;       839.00
13.15;       839.00
13.21;       839.00
13.32;       839.00
13.43;       839.00
13.49;       839.00
13.60;       839.00
13.72;       839.00
13.77;       839.00
13.89;       839.00
14.00;       839.00
14.06;       839.00
14.18;       839.00
14.24;       839.00
14.37;       839.00
14.43;       839.00
14.56;       839.00
14.64;       839.00
14.75;       839.00
14.81;       839.00
14.94;       839.00
15.00;       839.00
15.09;       839.00
15.19;       839.00
15.27;       839.00
15.38;       839.00
15.46;       839.00
15.57;       839.00
15.65;       839.00
15.76;       839.00
15.84;       839.00
15.95;       839.00
16.03;       839.00
16.14;       839.00
16.22;       839.00
16.33;       839.00
16.41;       839.00
16.52;       839.00
16.60;       839.00
16.70;       839.00
16.79;       839.00
16.90;       839.00
16.98;       839.00
17.08;       839.00
17.15;       835.00
17.27;       835.00
17.34;       835.00
17.44;       835.00
17.56;       839.00
17.62;       839.00
17.74;       839.00
17.82;       839.00
17.92;       839.00
18.04;       839.00
18.09;       839.00
18.20;       839.00
18.28;       839.00
18.39;       839.00
18.46;       839.00
18.60;       839.00
18.66;       839.00
18.79;       839.00
18.85;       839.00
18.97;       839.00
19.03;       839.00
19.15;       839.00
19.21;       839.00
19.33;       839.00
19.42;       839.00
19.55;       839.00
19.61;       839.00
19.68;       839.00
19.79;       839.00
19.91;       839.00
19.98;       839.00
20.09;       839.00
20.15;       839.00
20.26;       839.00
20.38;       839.00
20.43;       839.00
20.55;       839.00
20.66;       839.00
20.72;       839.00
20.84;       839.00
20.90;       839.00
21.01;       839.00
21.12;       839.00
21.18;       839.00
21.29;       839.00
21.40;       839.00
21.46;       839.00
21.57;       839.00
21.69;       839.00
21.75;       839.00
21.86;       839.00
21.98;       839.00
22.03;       839.00
22.14;       839.00
22.26;       839.00
22.31;       839.00
22.43;       839.00
22.49;       839.00
22.60;       839.00
22.71;       839.00
22.78;       839.00
22.90;       839.00
22.97;       839.00
23.07;       839.00
23.18;       839.00
23.24;       839.00
23.36;       839.00
23.47;       837.00
23.53;       835.00
23.64;       835.00
23.75;       835.00
23.81;       835.00
23.93;       839.00
23.99;       839.00
24.10;       839.00
24.21;       839.00
24.28;       839.00
24.38;       839.00
24.50;       839.00
24.56;       839.00
24.67;       839.00
24.78;       839.00
24.84;       839.00
24.95;       839.00
25.06;       839.00
25.14;       839.00
25.25;       839.00
25.31;       839.00
25.43;       839.00
25.54;       839.00
25.60;       839.00
25.72;       839.00
25.78;       839.00
25.89;       839.00
26.00;       839.00
26.06;       839.00
26.17;       839.00
26.29;       839.00
26.34;       839.00
26.46;       839.00
26.57;       839.00
26.63;       839.00
26.74;       839.00
26.80;       839.00
26.91;       839.00
27.05;       839.00
27.10;       839.00
27.21;       839.00
27.28;       839.00
27.39;       839.00
27.50;       839.00
27.56;       839.00
27.67;       839.00
27.79;       839.00
27.85;       839.00
27.97;       839.00
28.03;       839.00
28.14;       839.00
28.25;       839.00
28.31;       839.00
28.42;       839.00
28.54;       839.00
28.59;       839.00
28.71;       839.00
28.82;       839.00
