Tempo (s);  Valore Fotoresistenza
23.53;       839.00
23.66;       839.00
23.72;       839.00
23.85;       839.00
23.91;       839.00
24.04;       839.00
24.10;       839.00
24.23;       837.00
24.29;       837.00
24.40;       835.00
24.52;       835.00
24.58;       835.00
24.66;       837.00
24.75;       837.00
24.89;       839.00
24.95;       839.00
25.07;       839.00
25.14;       839.00
25.21;       839.00
25.34;       839.00
25.42;       839.00
25.55;       839.00
25.60;       839.00
25.70;       839.00
25.77;       839.00
25.94;       839.00
25.99;       839.00
26.08;       839.00
26.19;       839.00
26.25;       839.00
26.39;       839.00
26.45;       839.00
26.56;       839.00
26.62;       839.00
26.75;       839.00
26.80;       839.00
26.92;       839.00
27.04;       839.00
27.11;       839.00
27.23;       839.00
27.29;       839.00
27.41;       839.00
27.47;       839.00
27.60;       839.00
27.66;       839.00
27.79;       839.00
27.87;       839.00
27.94;       839.00
28.07;       839.00
28.30;       839.00
28.49;       839.00
28.55;       839.00
28.61;       839.00
28.68;       839.00
28.75;       839.00
28.81;       839.00
28.87;       839.00
28.92;       839.00
29.00;       839.00
29.06;       839.00
29.17;       839.00
29.28;       839.00
29.34;       839.00
29.45;       839.00
29.57;       839.00
29.62;       839.00
29.74;       839.00
29.86;       839.00
29.92;       839.00
30.05;       839.00
30.11;       839.00
30.24;       839.00
30.32;       839.00
30.40;       839.00
30.48;       839.00
30.56;       839.00
30.69;       839.00
30.75;       839.00
30.88;       837.00
30.96;       837.00
31.04;       837.00
31.12;       837.00
31.27;       837.00
31.35;       837.00
31.43;       837.00
31.50;       837.00
31.64;       837.00
31.70;       837.00
31.86;       837.00
31.92;       837.00
31.99;       837.00
32.07;       837.00
32.22;       837.00
32.30;       837.00
32.38;       837.00
32.46;       837.00
32.54;       837.00
32.63;       837.00
32.75;       837.00
32.82;       837.00
32.90;       837.00
33.01;       837.00
33.16;       837.00
33.22;       837.00
33.28;       837.00
33.39;       837.00
33.48;       837.00
33.55;       837.00
33.68;       837.00
33.76;       837.00
33.93;       837.00
34.01;       837.00
34.09;       837.00
34.17;       837.00
34.23;       837.00
34.35;       837.00
34.40;       837.00
