Tempo (s);  Valore Fotoresistenza
1.54;       839.00
1.60;       839.00
1.72;       839.00
1.78;       839.00
1.91;       839.00
1.98;       839.00
2.05;       839.00
2.17;       839.00
2.31;       839.00
2.38;       839.00
2.44;       839.00
2.57;       839.00
2.63;       839.00
2.77;       839.00
2.85;       839.00
2.90;       839.00
3.02;       839.00
3.13;       839.00
3.19;       839.00
3.32;       839.00
3.40;       839.00
3.53;       839.00
3.60;       839.00
3.67;       839.00
3.80;       839.00
3.87;       839.00
3.95;       839.00
4.04;       839.00
4.14;       839.00
4.22;       839.00
4.35;       839.00
4.42;       839.00
4.54;       839.00
4.60;       839.00
4.71;       839.00
4.82;       839.00
4.88;       839.00
5.01;       839.00
5.07;       839.00
5.19;       839.00
5.26;       839.00
5.39;       839.00
5.45;       839.00
5.58;       839.00
5.64;       839.00
5.77;       839.00
5.83;       839.00
5.96;       839.00
6.02;       839.00
6.15;       839.00
6.21;       839.00
6.27;       839.00
6.40;       839.00
6.46;       839.00
6.59;       839.00
6.66;       839.00
6.78;       839.00
6.85;       839.00
6.97;       839.00
7.04;       839.00
7.16;       839.00
7.22;       839.00
7.35;       839.00
7.41;       839.00
7.54;       839.00
7.60;       839.00
7.73;       839.00
7.80;       839.00
7.92;       839.00
7.99;       839.00
8.11;       839.00
8.18;       839.00
8.24;       839.00
8.38;       839.00
8.45;       839.00
8.59;       839.00
8.65;       839.00
8.72;       839.00
8.85;       839.00
8.92;       839.00
9.00;       839.00
9.12;       839.00
9.18;       839.00
9.31;       839.00
9.37;       839.00
9.49;       839.00
9.56;       839.00
9.68;       839.00
9.74;       839.00
9.88;       839.00
9.94;       839.00
10.08;       839.00
10.14;       839.00
10.26;       839.00
10.33;       839.00
10.45;       839.00
10.52;       839.00
10.64;       839.00
10.71;       839.00
10.78;       839.00
10.87;       839.00
11.00;       839.00
11.06;       839.00
11.20;       839.00
11.26;       839.00
11.34;       839.00
11.46;       839.00
11.53;       839.00
11.67;       839.00
11.73;       839.00
11.85;       839.00
11.92;       839.00
12.05;       837.00
12.13;       837.00
12.21;       835.00
12.28;       835.00
12.40;       835.00
12.47;       837.00
12.59;       837.00
12.65;       839.00
12.76;       839.00
12.88;       839.00
12.93;       839.00
13.06;       839.00
13.12;       839.00
13.23;       839.00
13.31;       839.00
13.42;       839.00
13.53;       839.00
13.60;       839.00
13.71;       839.00
13.82;       839.00
13.88;       839.00
13.99;       839.00
14.06;       839.00
14.17;       839.00
14.29;       839.00
14.36;       839.00
14.47;       839.00
14.53;       839.00
14.67;       839.00
14.74;       839.00
14.85;       839.00
14.91;       839.00
15.03;       839.00
15.08;       839.00
15.21;       839.00
15.28;       839.00
15.41;       839.00
15.46;       839.00
15.58;       839.00
15.70;       839.00
15.76;       839.00
15.87;       839.00
15.98;       839.00
16.04;       839.00
16.16;       839.00
16.21;       839.00
16.32;       839.00
16.44;       839.00
16.49;       839.00
16.62;       839.00
16.73;       839.00
16.79;       839.00
16.91;       839.00
16.97;       839.00
17.08;       839.00
17.20;       839.00
17.25;       839.00
17.36;       839.00
17.48;       839.00
17.54;       839.00
17.65;       839.00
17.76;       839.00
17.82;       839.00
17.93;       839.00
18.05;       839.00
18.12;       839.00
18.18;       839.00
18.31;       839.00
18.37;       839.00
18.49;       839.00
18.55;       839.00
18.67;       839.00
18.74;       839.00
18.86;       839.00
18.98;       839.00
19.05;       839.00
19.17;       839.00
19.23;       839.00
19.35;       839.00
19.40;       839.00
19.53;       839.00
19.59;       839.00
19.70;       839.00
19.81;       839.00
19.87;       839.00
20.00;       839.00
20.06;       839.00
20.17;       839.00
20.28;       839.00
20.34;       839.00
20.47;       839.00
20.52;       839.00
20.66;       839.00
20.72;       839.00
20.83;       839.00
20.95;       839.00
21.01;       839.00
21.12;       839.00
21.19;       839.00
21.32;       839.00
21.37;       839.00
21.48;       839.00
21.60;       839.00
21.66;       839.00
21.78;       839.00
21.83;       839.00
21.95;       839.00
22.08;       839.00
22.14;       839.00
22.27;       839.00
22.33;       839.00
22.46;       839.00
22.52;       839.00
22.58;       839.00
22.71;       839.00
22.77;       839.00
22.90;       839.00
22.96;       839.00
23.09;       839.00
23.15;       839.00
23.28;       839.00
23.34;       839.00
23.47;       839.00
