Tempo (s);  Valore Fotoresistenza
34.64;       839.00
34.69;       839.00
34.80;       839.00
34.92;       839.00
34.97;       839.00
35.09;       839.00
35.21;       839.00
35.27;       839.00
35.38;       839.00
35.43;       839.00
35.55;       839.00
35.67;       839.00
35.73;       839.00
35.84;       839.00
35.95;       839.00
36.01;       839.00
36.12;       839.00
36.23;       839.00
36.29;       839.00
36.40;       839.00
36.47;       839.00
36.58;       839.00
36.69;       839.00
36.75;       839.00
36.86;       839.00
36.97;       837.00
37.03;       837.00
37.14;       835.00
37.25;       835.00
37.31;       835.00
37.42;       835.00
37.50;       835.00
37.61;       835.00
37.72;       837.00
37.78;       837.00
37.89;       839.00
38.00;       839.00
38.06;       839.00
38.18;       839.00
38.30;       839.00
38.35;       839.00
38.46;       839.00
38.58;       839.00
38.63;       839.00
38.75;       839.00
38.86;       839.00
38.91;       839.00
39.02;       839.00
39.14;       839.00
39.19;       839.00
39.31;       839.00
39.42;       839.00
39.47;       839.00
39.60;       839.00
39.66;       839.00
39.80;       839.00
39.86;       839.00
39.97;       839.00
40.03;       837.00
40.14;       835.00
40.26;       835.00
40.31;       835.00
40.42;       835.00
40.53;       835.00
40.59;       839.00
40.70;       839.00
40.81;       839.00
40.88;       839.00
40.99;       839.00
41.10;       839.00
41.16;       839.00
41.27;       839.00
41.38;       839.00
41.45;       839.00
41.56;       839.00
41.64;       839.00
41.76;       839.00
41.82;       839.00
41.93;       839.00
42.04;       839.00
42.10;       839.00
42.21;       839.00
42.32;       839.00
42.38;       839.00
42.49;       839.00
42.60;       839.00
42.66;       839.00
42.77;       839.00
42.88;       839.00
42.95;       839.00
43.06;       839.00
43.17;       839.00
43.23;       839.00
43.34;       839.00
43.45;       839.00
43.51;       839.00
43.64;       839.00
43.70;       839.00
43.82;       839.00
43.87;       839.00
43.98;       839.00
44.10;       839.00
44.15;       839.00
44.26;       839.00
44.38;       839.00
44.43;       839.00
44.55;       839.00
44.66;       839.00
44.77;       839.00
44.83;       839.00
44.94;       839.00
45.00;       839.00
45.11;       839.00
45.22;       839.00
45.28;       839.00
45.39;       839.00
45.50;       839.00
45.56;       839.00
45.68;       839.00
45.79;       839.00
45.85;       839.00
45.96;       839.00
46.07;       839.00
46.13;       839.00
46.24;       839.00
46.35;       839.00
46.41;       839.00
46.54;       839.00
46.60;       839.00
46.71;       839.00
46.83;       839.00
46.88;       839.00
46.99;       839.00
47.10;       839.00
47.16;       839.00
47.28;       839.00
47.34;       839.00
47.45;       839.00
47.57;       839.00
47.62;       839.00
47.74;       839.00
47.85;       839.00
47.91;       839.00
48.02;       839.00
48.13;       839.00
48.19;       839.00
48.30;       839.00
48.41;       839.00
48.47;       839.00
48.58;       839.00
48.71;       839.00
48.77;       839.00
48.88;       839.00
48.94;       839.00
49.05;       839.00
49.16;       837.00
49.22;       837.00
49.33;       837.00
49.44;       835.00
49.50;       835.00
49.61;       835.00
49.74;       835.00
49.80;       835.00
49.91;       835.00
49.97;       837.00
50.08;       839.00
50.19;       839.00
50.25;       839.00
50.37;       839.00
50.48;       839.00
50.53;       839.00
50.67;       839.00
50.72;       839.00
50.83;       839.00
50.96;       839.00
51.01;       839.00
51.13;       839.00
51.24;       839.00
51.29;       839.00
51.41;       839.00
51.53;       839.00
51.58;       839.00
51.70;       839.00
51.76;       839.00
51.87;       839.00
51.98;       839.00
52.03;       839.00
52.15;       839.00
52.26;       839.00
52.33;       836.00
52.44;       836.00
52.57;       836.00
52.63;       836.00
52.74;       836.00
52.79;       836.00
52.91;       839.00
53.02;       839.00
53.09;       839.00
53.20;       839.00
53.26;       839.00
53.38;       839.00
53.49;       839.00
53.54;       839.00
53.66;       839.00
53.72;       839.00
53.83;       839.00
53.94;       839.00
54.00;       839.00
54.11;       839.00
54.23;       839.00
54.30;       839.00
54.41;       839.00
54.47;       839.00
54.62;       839.00
54.80;       839.00
54.87;       839.00
54.92;       839.00
54.99;       839.00
55.04;       839.00
55.16;       839.00
55.22;       839.00
55.33;       839.00
55.44;       839.00
55.55;       839.00
55.61;       839.00
55.73;       839.00
55.80;       839.00
55.92;       839.00
55.97;       839.00
56.09;       839.00
56.23;       839.00
56.28;       839.00
56.34;       839.00
56.46;       839.00
56.57;       839.00
56.63;       839.00
56.74;       839.00
