Tempo (s);  Valore Fotoresistenza
1.49;       839.00
1.62;       839.00
1.68;       839.00
1.81;       839.00
1.87;       839.00
1.99;       839.00
2.06;       839.00
2.18;       839.00
2.25;       839.00
2.38;       839.00
2.44;       839.00
2.57;       839.00
2.63;       839.00
2.76;       839.00
2.82;       839.00
2.95;       839.00
3.01;       839.00
3.14;       839.00
3.20;       839.00
3.33;       839.00
3.39;       839.00
3.52;       839.00
3.58;       839.00
3.71;       839.00
3.77;       839.00
3.84;       839.00
3.96;       839.00
4.03;       839.00
4.16;       839.00
4.22;       837.00
4.34;       835.00
4.45;       835.00
4.51;       835.00
4.63;       837.00
4.69;       839.00
4.81;       839.00
4.87;       839.00
4.99;       839.00
5.11;       839.00
5.17;       839.00
5.29;       839.00
5.35;       839.00
5.48;       839.00
5.54;       839.00
5.67;       839.00
5.73;       839.00
5.81;       837.00
5.94;       835.00
6.02;       835.00
6.08;       839.00
6.22;       839.00
6.33;       839.00
6.40;       839.00
6.46;       839.00
6.57;       839.00
6.68;       839.00
6.75;       839.00
6.89;       839.00
6.95;       839.00
7.07;       839.00
7.13;       839.00
7.26;       839.00
7.33;       839.00
7.45;       839.00
7.51;       839.00
7.63;       839.00
7.68;       839.00
7.80;       839.00
7.91;       839.00
7.97;       839.00
8.09;       839.00
8.15;       839.00
8.27;       839.00
8.35;       839.00
8.46;       839.00
8.52;       839.00
8.64;       839.00
8.76;       839.00
8.82;       839.00
8.94;       839.00
9.00;       839.00
9.12;       839.00
9.19;       839.00
9.31;       839.00
9.37;       839.00
9.49;       839.00
9.61;       839.00
9.67;       839.00
9.80;       839.00
9.86;       839.00
9.97;       839.00
10.03;       839.00
10.14;       839.00
10.25;       839.00
10.31;       839.00
10.44;       839.00
10.50;       839.00
10.61;       837.00
10.72;       835.00
10.78;       835.00
10.89;       835.00
11.00;       837.00
11.06;       839.00
11.17;       839.00
11.28;       839.00
11.34;       839.00
11.46;       839.00
11.58;       839.00
11.63;       839.00
11.75;       839.00
11.81;       839.00
11.92;       839.00
12.03;       839.00
12.09;       839.00
12.20;       837.00
12.31;       835.00
12.37;       835.00
12.48;       837.00
12.59;       839.00
12.65;       839.00
12.77;       839.00
12.88;       839.00
12.93;       839.00
13.05;       839.00
13.16;       839.00
13.22;       839.00
13.35;       839.00
13.41;       839.00
13.52;       839.00
13.63;       839.00
13.69;       839.00
13.80;       839.00
13.92;       839.00
13.97;       839.00
14.08;       839.00
14.20;       839.00
14.25;       839.00
14.37;       839.00
14.48;       839.00
14.54;       839.00
14.67;       839.00
14.72;       839.00
14.83;       839.00
14.95;       839.00
15.00;       839.00
15.12;       839.00
15.23;       839.00
15.28;       839.00
15.40;       839.00
15.53;       839.00
15.59;       839.00
15.70;       839.00
15.76;       839.00
15.87;       839.00
15.93;       839.00
16.04;       839.00
16.15;       839.00
16.21;       839.00
16.33;       839.00
16.44;       839.00
16.50;       839.00
16.62;       839.00
16.73;       839.00
16.79;       839.00
16.90;       837.00
16.96;       835.00
17.07;       835.00
17.19;       835.00
17.25;       835.00
17.36;       837.00
17.44;       839.00
17.55;       839.00
17.66;       839.00
17.72;       839.00
17.83;       839.00
17.95;       839.00
18.00;       839.00
18.12;       839.00
18.23;       839.00
18.28;       839.00
18.40;       839.00
18.51;       839.00
18.57;       837.00
18.68;       835.00
18.79;       837.00
18.85;       839.00
18.96;       839.00
19.07;       839.00
19.13;       839.00
19.24;       839.00
19.37;       839.00
19.43;       839.00
19.54;       839.00
19.60;       839.00
19.71;       839.00
19.83;       839.00
19.88;       839.00
20.00;       839.00
20.06;       839.00
20.17;       839.00
20.28;       839.00
20.34;       839.00
20.45;       839.00
20.57;       839.00
20.62;       839.00
20.74;       839.00
20.85;       839.00
20.91;       839.00
21.02;       839.00
21.13;       839.00
21.19;       839.00
21.30;       839.00
21.41;       839.00
21.47;       839.00
21.58;       839.00
21.69;       839.00
21.75;       839.00
21.86;       839.00
21.98;       839.00
22.04;       839.00
22.15;       839.00
22.28;       839.00
22.33;       839.00
22.45;       839.00
22.50;       839.00
22.61;       839.00
22.72;       839.00
22.78;       839.00
22.89;       839.00
23.00;       839.00
23.06;       839.00
23.17;       839.00
23.29;       837.00
23.34;       835.00
23.45;       835.00
23.57;       835.00
23.63;       835.00
23.74;       839.00
23.86;       839.00
23.91;       839.00
24.03;       839.00
24.14;       839.00
24.19;       839.00
24.30;       839.00
24.42;       839.00
24.49;       839.00
24.60;       839.00
24.66;       839.00
24.77;       839.00
24.88;       837.00
24.94;       835.00
25.05;       835.00
25.17;       838.00
25.22;       838.00
25.33;       838.00
25.45;       838.00
25.50;       838.00
25.61;       838.00
25.73;       838.00
25.79;       838.00
25.90;       838.00
26.01;       838.00
26.07;       838.00
26.18;       838.00
26.29;       838.00
26.37;       838.00
26.44;       838.00
