Tempo (s);  Valore Fotoresistenza
1.54;       839.00
1.60;       839.00
1.72;       839.00
1.78;       839.00
1.91;       839.00
1.96;       839.00
2.08;       839.00
2.16;       839.00
2.28;       839.00
2.34;       839.00
2.50;       839.00
2.56;       839.00
2.63;       839.00
2.75;       839.00
2.80;       839.00
2.91;       839.00
3.02;       839.00
3.11;       839.00
3.22;       839.00
3.28;       839.00
3.40;       839.00
3.52;       839.00
3.59;       839.00
3.69;       839.00
3.76;       839.00
3.88;       839.00
3.94;       839.00
4.07;       839.00
4.13;       839.00
4.26;       839.00
4.32;       839.00
4.45;       839.00
4.52;       839.00
4.65;       839.00
4.71;       839.00
4.77;       839.00
4.89;       839.00
5.01;       839.00
5.07;       839.00
5.20;       839.00
5.27;       839.00
5.35;       839.00
5.46;       839.00
5.52;       839.00
5.64;       839.00
5.76;       839.00
5.81;       839.00
5.93;       839.00
5.99;       839.00
6.12;       839.00
6.18;       839.00
6.31;       839.00
6.37;       839.00
6.49;       839.00
6.60;       839.00
6.67;       839.00
6.79;       839.00
6.86;       839.00
6.98;       839.00
7.05;       839.00
7.17;       839.00
7.23;       839.00
7.34;       839.00
7.43;       839.00
7.55;       839.00
7.60;       839.00
7.72;       839.00
7.78;       839.00
7.92;       839.00
7.97;       839.00
8.08;       839.00
8.15;       839.00
8.32;       839.00
8.37;       837.00
8.44;       837.00
8.56;       835.00
8.62;       835.00
8.77;       835.00
8.85;       835.00
8.95;       835.00
9.05;       835.00
9.12;       835.00
9.20;       837.00
9.29;       837.00
9.38;       839.00
9.46;       839.00
9.61;       839.00
9.70;       839.00
9.79;       839.00
9.87;       839.00
9.93;       839.00
10.05;       839.00
10.17;       839.00
10.23;       839.00
10.31;       839.00
10.43;       839.00
10.49;       839.00
10.62;       839.00
10.68;       839.00
10.80;       839.00
10.94;       839.00
11.00;       839.00
11.06;       839.00
11.19;       839.00
11.25;       839.00
11.38;       839.00
11.44;       839.00
11.58;       839.00
11.64;       839.00
11.76;       839.00
11.81;       839.00
11.93;       839.00
12.05;       839.00
12.10;       839.00
12.22;       839.00
12.27;       839.00
12.39;       839.00
12.50;       839.00
12.56;       839.00
12.67;       839.00
12.78;       839.00
12.84;       839.00
12.95;       839.00
13.07;       839.00
13.13;       839.00
13.25;       839.00
13.31;       839.00
13.42;       839.00
13.50;       839.00
13.61;       839.00
13.73;       839.00
13.78;       839.00
13.90;       839.00
14.01;       839.00
14.07;       839.00
14.18;       839.00
14.29;       839.00
14.35;       839.00
14.47;       839.00
14.58;       839.00
14.63;       839.00
14.75;       839.00
14.81;       839.00
14.92;       839.00
15.03;       839.00
15.09;       839.00
15.20;       839.00
15.32;       839.00
15.38;       839.00
15.49;       839.00
15.60;       839.00
15.66;       839.00
15.78;       839.00
15.84;       839.00
15.95;       839.00
16.07;       839.00
16.12;       839.00
16.24;       839.00
16.35;       839.00
16.43;       839.00
16.54;       839.00
16.60;       839.00
16.71;       839.00
16.83;       839.00
16.88;       839.00
17.00;       839.00
17.11;       839.00
17.16;       839.00
17.28;       839.00
17.34;       839.00
17.45;       839.00
17.56;       839.00
17.62;       839.00
17.74;       839.00
17.86;       839.00
17.92;       839.00
18.03;       839.00
18.09;       839.00
18.20;       839.00
18.31;       839.00
18.37;       839.00
18.48;       839.00
18.60;       839.00
18.67;       839.00
18.78;       839.00
18.87;       839.00
18.98;       839.00
19.04;       839.00
19.17;       839.00
19.23;       839.00
19.36;       839.00
19.42;       839.00
19.55;       839.00
19.61;       839.00
19.72;       839.00
19.78;       839.00
19.90;       839.00
19.96;       839.00
20.08;       839.00
20.15;       839.00
20.28;       839.00
20.34;       839.00
20.47;       839.00
20.53;       839.00
20.66;       839.00
20.72;       837.00
20.85;       837.00
20.90;       835.00
21.02;       835.00
21.13;       835.00
21.19;       835.00
21.30;       835.00
21.37;       835.00
21.47;       837.00
21.60;       837.00
21.67;       837.00
21.81;       839.00
21.89;       839.00
21.95;       839.00
22.07;       839.00
22.13;       839.00
22.25;       839.00
22.31;       839.00
22.44;       839.00
22.51;       839.00
22.66;       839.00
22.73;       839.00
22.79;       839.00
22.87;       839.00
23.01;       839.00
23.08;       839.00
23.15;       839.00
23.28;       839.00
23.37;       839.00
23.43;       839.00
23.55;       839.00
23.67;       839.00
23.73;       839.00
23.85;       839.00
23.91;       839.00
24.03;       839.00
24.09;       839.00
24.21;       839.00
24.33;       839.00
24.38;       839.00
24.50;       839.00
24.57;       839.00
24.69;       839.00
24.77;       839.00
24.84;       839.00
24.96;       839.00
25.08;       839.00
25.27;       839.00
25.47;       839.00
25.54;       839.00
25.60;       839.00
25.66;       839.00
25.72;       839.00
25.79;       839.00
25.85;       839.00
25.91;       839.00
25.97;       839.00
26.10;       839.00
26.17;       839.00
26.29;       839.00
26.35;       839.00
26.47;       839.00
26.53;       839.00
26.65;       839.00
26.71;       839.00
26.83;       839.00
26.90;       839.00
27.02;       839.00
27.14;       839.00
27.20;       839.00
27.31;       839.00
27.37;       839.00
27.51;       839.00
27.57;       839.00
