Tempo (s);  Valore Fotoresistenza
1.54;       839.00
1.60;       839.00
1.73;       839.00
1.79;       839.00
1.91;       839.00
1.98;       839.00
2.11;       839.00
2.17;       839.00
2.29;       839.00
2.36;       839.00
2.47;       839.00
2.54;       839.00
2.63;       839.00
2.75;       839.00
2.89;       839.00
2.94;       839.00
3.02;       839.00
3.16;       839.00
3.22;       839.00
3.33;       839.00
3.40;       839.00
3.46;       839.00
3.59;       839.00
3.65;       839.00
3.77;       839.00
3.84;       839.00
3.96;       839.00
4.03;       839.00
4.16;       839.00
4.22;       839.00
4.35;       839.00
4.41;       839.00
4.54;       839.00
4.60;       837.00
4.73;       835.00
4.80;       835.00
4.91;       835.00
4.97;       835.00
5.11;       837.00
5.18;       839.00
5.30;       839.00
5.36;       839.00
5.51;       839.00
5.58;       839.00
5.66;       839.00
5.75;       839.00
5.80;       839.00
5.96;       839.00
6.02;       839.00
6.08;       839.00
6.21;       839.00
6.33;       839.00
6.39;       839.00
6.47;       839.00
6.62;       839.00
6.68;       839.00
6.75;       839.00
6.91;       839.00
6.99;       839.00
7.07;       839.00
7.13;       839.00
7.26;       839.00
7.35;       839.00
7.41;       839.00
7.53;       839.00
7.64;       839.00
7.70;       839.00
7.81;       839.00
7.87;       839.00
7.99;       839.00
8.11;       839.00
8.17;       839.00
8.29;       839.00
8.34;       839.00
8.46;       839.00
8.58;       839.00
8.64;       839.00
8.75;       839.00
8.81;       839.00
8.93;       839.00
9.00;       839.00
9.12;       839.00
9.18;       839.00
9.30;       839.00
9.42;       839.00
9.48;       839.00
9.60;       839.00
9.66;       839.00
9.78;       839.00
9.84;       839.00
9.97;       839.00
10.02;       839.00
10.14;       839.00
10.25;       839.00
10.31;       839.00
10.44;       839.00
10.50;       839.00
10.61;       839.00
10.72;       839.00
10.77;       839.00
10.89;       839.00
11.00;       839.00
11.06;       839.00
11.17;       839.00
11.28;       839.00
11.34;       839.00
11.45;       839.00
11.58;       839.00
11.64;       839.00
11.75;       839.00
11.80;       839.00
11.93;       839.00
12.04;       839.00
12.10;       839.00
12.21;       839.00
12.32;       839.00
12.39;       839.00
12.50;       839.00
12.56;       839.00
12.69;       839.00
12.74;       839.00
12.85;       839.00
12.97;       839.00
13.03;       839.00
13.14;       839.00
13.25;       839.00
13.31;       839.00
13.42;       839.00
13.54;       839.00
13.61;       839.00
13.73;       839.00
13.78;       839.00
13.90;       839.00
14.01;       839.00
14.06;       839.00
14.17;       839.00
14.29;       839.00
14.34;       839.00
14.45;       839.00
14.58;       839.00
14.64;       839.00
14.77;       839.00
14.83;       839.00
14.96;       839.00
15.02;       839.00
15.15;       839.00
15.21;       839.00
15.27;       839.00
15.40;       839.00
15.46;       839.00
15.59;       839.00
15.70;       839.00
15.76;       839.00
15.89;       839.00
15.95;       839.00
16.08;       839.00
16.14;       839.00
16.27;       839.00
16.33;       839.00
16.46;       837.00
16.53;       835.00
16.58;       835.00
16.70;       835.00
16.82;       835.00
16.87;       837.00
16.98;       839.00
17.10;       839.00
17.15;       839.00
17.32;       839.00
17.41;       839.00
17.48;       839.00
17.55;       839.00
17.62;       839.00
17.76;       839.00
17.83;       839.00
17.90;       839.00
18.03;       839.00
18.10;       839.00
18.23;       839.00
18.32;       839.00
18.38;       839.00
18.47;       839.00
18.59;       839.00
18.65;       839.00
18.77;       839.00
18.91;       839.00
19.01;       839.00
19.07;       839.00
19.15;       839.00
19.27;       839.00
19.33;       839.00
19.44;       839.00
19.50;       839.00
19.61;       839.00
19.73;       839.00
19.79;       839.00
19.90;       839.00
20.01;       839.00
20.07;       839.00
20.18;       839.00
20.29;       839.00
20.35;       839.00
20.46;       839.00
20.53;       839.00
20.67;       839.00
20.72;       839.00
20.83;       839.00
20.96;       839.00
21.01;       839.00
21.13;       839.00
21.18;       839.00
21.30;       839.00
21.41;       839.00
21.47;       839.00
21.58;       839.00
21.70;       839.00
21.76;       839.00
21.87;       839.00
21.98;       839.00
22.03;       839.00
22.16;       839.00
22.22;       839.00
22.33;       839.00
22.44;       839.00
22.50;       839.00
22.61;       839.00
22.72;       839.00
22.78;       839.00
22.87;       839.00
22.98;       839.00
23.09;       839.00
23.21;       839.00
23.30;       839.00
23.35;       839.00
23.46;       839.00
