Tempo (s);  Valore Fotoresistenza
1.55;       839.00
1.62;       839.00
1.68;       839.00
1.80;       839.00
1.96;       839.00
2.01;       839.00
2.10;       839.00
2.15;       839.00
2.28;       839.00
2.34;       839.00
2.45;       839.00
2.58;       839.00
2.67;       839.00
2.72;       839.00
2.85;       839.00
2.92;       839.00
3.03;       839.00
3.09;       839.00
3.20;       839.00
3.31;       839.00
3.38;       839.00
3.46;       839.00
3.60;       839.00
3.66;       839.00
3.79;       839.00
3.85;       839.00
3.97;       839.00
4.04;       839.00
4.15;       839.00
4.24;       839.00
4.31;       839.00
4.42;       839.00
4.52;       837.00
4.61;       835.00
4.70;       835.00
4.78;       839.00
4.92;       839.00
5.00;       839.00
5.09;       839.00
5.15;       839.00
5.31;       839.00
5.43;       839.00
5.53;       839.00
5.60;       839.00
5.67;       839.00
5.73;       839.00
5.86;       839.00
5.92;       839.00
6.03;       839.00
6.09;       839.00
6.21;       839.00
6.27;       839.00
6.39;       839.00
6.51;       839.00
6.57;       839.00
6.68;       839.00
6.81;       839.00
6.87;       839.00
6.98;       839.00
7.04;       839.00
7.15;       839.00
7.26;       839.00
7.32;       839.00
7.43;       839.00
7.57;       839.00
7.62;       839.00
7.68;       839.00
7.79;       839.00
7.91;       839.00
7.97;       839.00
8.08;       839.00
8.20;       839.00
8.25;       839.00
8.37;       839.00
8.43;       839.00
8.55;       839.00
8.66;       839.00
8.72;       839.00
8.84;       839.00
8.90;       839.00
9.02;       839.00
9.14;       839.00
9.20;       839.00
9.32;       839.00
9.38;       839.00
9.52;       839.00
9.58;       839.00
9.70;       839.00
9.76;       839.00
9.87;       839.00
9.98;       839.00
10.04;       839.00
10.16;       839.00
10.21;       839.00
10.32;       839.00
10.44;       839.00
10.49;       839.00
10.62;       839.00
10.74;       839.00
10.80;       839.00
10.91;       837.00
10.98;       835.00
11.10;       835.00
11.16;       838.00
11.27;       838.00
11.39;       838.00
11.47;       838.00
11.58;       838.00
11.64;       838.00
11.75;       838.00
11.81;       838.00
11.92;       838.00
12.03;       838.00
12.09;       838.00
12.21;       838.00
12.32;       838.00
12.39;       838.00
12.51;       838.00
12.57;       838.00
12.68;       838.00
12.80;       838.00
12.87;       838.00
12.99;       838.00
13.05;       838.00
13.16;       838.00
13.23;       838.00
13.34;       838.00
13.40;       838.00
13.53;       838.00
13.59;       838.00
13.70;       838.00
13.81;       838.00
13.87;       838.00
13.99;       838.00
14.10;       838.00
14.16;       838.00
14.28;       838.00
14.34;       838.00
14.45;       838.00
14.57;       840.00
14.62;       840.00
14.75;       840.00
14.81;       840.00
14.94;       840.00
15.00;       840.00
15.13;       840.00
15.19;       840.00
15.31;       840.00
15.38;       840.00
15.50;       840.00
15.57;       840.00
15.70;       840.00
15.76;       840.00
15.89;       840.00
15.95;       840.00
16.07;       840.00
16.14;       840.00
16.27;       840.00
16.33;       840.00
16.47;       840.00
16.52;       840.00
16.64;       840.00
16.71;       840.00
16.77;       840.00
16.90;       840.00
16.96;       840.00
17.09;       840.00
17.15;       840.00
17.28;       837.00
17.35;       835.00
17.47;       837.00
17.53;       839.00
17.66;       839.00
17.72;       839.00
17.85;       839.00
17.91;       839.00
18.04;       839.00
18.11;       839.00
18.24;       839.00
18.29;       839.00
18.42;       839.00
18.49;       839.00
18.63;       839.00
18.71;       839.00
18.79;       839.00
18.86;       839.00
18.98;       839.00
19.06;       839.00
19.13;       839.00
19.26;       839.00
19.31;       839.00
19.46;       839.00
19.51;       839.00
19.64;       839.00
19.72;       839.00
19.80;       839.00
19.92;       839.00
19.98;       839.00
20.11;       839.00
20.17;       839.00
20.25;       839.00
20.38;       839.00
20.46;       839.00
20.53;       839.00
20.67;       839.00
20.73;       839.00
20.84;       839.00
20.90;       839.00
21.02;       839.00
21.14;       839.00
21.21;       839.00
21.28;       839.00
21.42;       839.00
21.48;       839.00
21.56;       839.00
21.71;       839.00
21.77;       839.00
21.84;       839.00
21.95;       839.00
22.08;       839.00
22.14;       839.00
22.26;       839.00
22.33;       839.00
22.45;       839.00
22.52;       839.00
22.64;       839.00
22.71;       839.00
22.83;       839.00
22.89;       839.00
23.02;       839.00
23.09;       839.00
23.15;       839.00
23.28;       839.00
23.34;       839.00
23.47;       839.00
23.53;       839.00
23.67;       837.00
23.72;       835.00
23.85;       835.00
23.91;       839.00
24.04;       839.00
24.10;       839.00
24.23;       839.00
24.29;       839.00
24.42;       839.00
24.49;       839.00
24.56;       839.00
24.67;       839.00
24.80;       839.00
24.86;       839.00
24.99;       839.00
25.05;       839.00
25.12;       839.00
25.24;       839.00
25.31;       839.00
25.44;       839.00
25.50;       839.00
25.63;       839.00
25.69;       839.00
25.82;       839.00
25.89;       839.00
26.04;       839.00
26.09;       839.00
26.16;       839.00
26.30;       839.00
26.36;       839.00
26.47;       839.00
26.58;       839.00
26.65;       839.00
26.74;       839.00
26.86;       839.00
26.93;       839.00
27.08;       839.00
27.14;       839.00
27.20;       839.00
27.34;       839.00
27.40;       839.00
27.52;       839.00
27.58;       839.00
27.70;       839.00
27.76;       839.00
27.89;       839.00
27.94;       839.00
28.12;       839.00
28.18;       839.00
28.23;       839.00
28.35;       839.00
28.43;       839.00
28.56;       839.00
28.62;       839.00
28.74;       839.00
28.79;       839.00
28.95;       839.00
29.01;       839.00
29.10;       839.00
29.16;       839.00
29.28;       839.00
29.34;       839.00
29.49;       839.00
29.55;       839.00
29.64;       839.00
29.71;       839.00
29.83;       839.00
29.94;       839.00
29.99;       837.00
30.10;       835.00
30.22;       835.00
30.29;       837.00
30.41;       839.00
30.47;       839.00
30.58;       839.00
30.69;       839.00
30.76;       839.00
30.88;       839.00
30.93;       839.00
31.04;       839.00
31.15;       839.00
31.26;       839.00
31.34;       839.00
31.46;       839.00
31.52;       839.00
31.59;       839.00
31.71;       839.00
31.82;       839.00
31.88;       839.00
31.99;       839.00
32.10;       839.00
32.15;       839.00
32.28;       839.00
32.39;       839.00
32.45;       839.00
32.56;       839.00
32.67;       839.00
32.73;       839.00
32.84;       839.00
32.90;       839.00
33.01;       839.00
33.13;       839.00
33.18;       839.00
33.30;       839.00
33.42;       839.00
33.47;       839.00
33.60;       839.00
33.66;       839.00
33.78;       839.00
33.89;       839.00
33.94;       839.00
