Tempo (s);  Valore Fotoresistenza
34.06;       839.00
34.12;       839.00
34.24;       839.00
34.35;       839.00
34.40;       839.00
34.51;       839.00
34.63;       839.00
34.69;       839.00
34.91;       839.00
35.10;       839.00
35.16;       839.00
35.22;       839.00
35.28;       839.00
35.34;       839.00
35.40;       839.00
35.46;       839.00
35.57;       839.00
35.65;       839.00
35.79;       839.00
35.85;       839.00
35.92;       839.00
36.05;       839.00
36.11;       839.00
36.25;       839.00
36.31;       839.00
36.38;       837.00
36.54;       835.00
36.61;       835.00
36.67;       838.00
36.82;       838.00
36.90;       838.00
36.98;       838.00
37.05;       838.00
37.17;       838.00
37.23;       838.00
37.36;       838.00
37.43;       838.00
37.50;       838.00
37.66;       838.00
37.74;       838.00
37.88;       838.00
37.94;       838.00
38.01;       838.00
38.08;       838.00
38.18;       838.00
38.27;       838.00
38.35;       838.00
38.46;       838.00
38.57;       838.00
38.63;       838.00
38.71;       838.00
38.85;       838.00
38.92;       838.00
39.01;       838.00
39.09;       838.00
39.22;       838.00
39.28;       838.00
39.42;       838.00
39.50;       838.00
39.58;       838.00
39.65;       838.00
39.82;       838.00
39.88;       838.00
