Tempo (s);  Valore Fotoresistenza
1.49;       839.00
1.63;       839.00
1.70;       839.00
1.84;       839.00
1.90;       839.00
1.96;       839.00
2.09;       839.00
2.15;       839.00
2.28;       839.00
2.34;       839.00
2.49;       839.00
2.55;       839.00
2.69;       839.00
2.74;       839.00
2.80;       839.00
2.92;       839.00
3.03;       839.00
3.11;       839.00
3.24;       839.00
3.30;       839.00
3.44;       839.00
3.51;       839.00
3.57;       839.00
3.70;       839.00
3.77;       839.00
3.85;       839.00
3.98;       839.00
4.04;       839.00
4.16;       839.00
4.22;       839.00
4.31;       839.00
4.44;       839.00
4.50;       839.00
4.62;       839.00
4.73;       837.00
4.79;       835.00
4.92;       837.00
4.98;       837.00
5.11;       839.00
5.17;       839.00
5.29;       839.00
5.35;       839.00
5.47;       839.00
5.54;       839.00
5.66;       839.00
5.73;       839.00
5.86;       839.00
5.93;       839.00
6.04;       839.00
6.10;       839.00
6.23;       839.00
6.29;       839.00
6.40;       839.00
6.51;       839.00
6.57;       839.00
6.68;       839.00
6.74;       839.00
6.85;       839.00
6.97;       839.00
7.02;       839.00
7.14;       839.00
7.25;       839.00
7.31;       839.00
7.42;       839.00
7.54;       839.00
7.59;       839.00
7.71;       839.00
7.82;       839.00
7.88;       839.00
8.00;       839.00
8.06;       839.00
8.19;       839.00
8.25;       839.00
8.37;       839.00
8.49;       839.00
8.54;       839.00
8.66;       839.00
8.72;       839.00
8.84;       839.00
8.90;       839.00
9.02;       839.00
9.09;       839.00
9.21;       839.00
9.33;       839.00
9.39;       839.00
9.51;       839.00
9.57;       839.00
9.69;       839.00
9.75;       839.00
9.86;       839.00
9.98;       839.00
10.04;       839.00
10.15;       839.00
10.26;       839.00
10.32;       839.00
10.43;       839.00
10.54;       839.00
10.60;       839.00
10.71;       839.00
10.82;       839.00
10.88;       839.00
10.99;       837.00
11.12;       837.00
11.18;       835.00
11.29;       837.00
11.35;       839.00
11.46;       839.00
11.57;       839.00
11.63;       839.00
11.74;       839.00
11.85;       839.00
11.91;       839.00
12.03;       839.00
12.14;       839.00
12.20;       839.00
12.31;       839.00
12.37;       839.00
12.48;       839.00
12.59;       839.00
12.65;       839.00
12.76;       839.00
12.87;       839.00
12.93;       839.00
13.05;       839.00
13.12;       839.00
13.23;       839.00
13.43;       839.00
13.65;       839.00
13.71;       839.00
13.77;       839.00
13.83;       839.00
13.89;       839.00
13.95;       839.00
14.01;       839.00
14.07;       839.00
14.18;       839.00
14.24;       839.00
14.39;       839.00
14.45;       839.00
14.58;       839.00
14.63;       839.00
14.75;       839.00
14.81;       839.00
14.92;       839.00
15.04;       839.00
