Tempo (s);  Valore Fotoresistenza
1.64;       839.00
1.70;       839.00
1.82;       839.00
1.88;       839.00
1.99;       839.00
2.05;       839.00
2.17;       839.00
2.31;       839.00
2.38;       839.00
2.43;       839.00
2.59;       839.00
2.64;       839.00
2.78;       839.00
2.86;       839.00
2.91;       839.00
3.05;       839.00
3.12;       839.00
3.27;       839.00
3.33;       839.00
3.38;       839.00
3.50;       839.00
3.58;       839.00
3.70;       839.00
3.76;       839.00
3.88;       839.00
3.95;       839.00
4.06;       839.00
4.13;       839.00
4.25;       839.00
4.31;       839.00
4.46;       839.00
4.53;       839.00
4.59;       839.00
4.74;       839.00
4.80;       839.00
4.87;       839.00
5.00;       839.00
5.06;       839.00
5.18;       839.00
5.29;       839.00
5.36;       839.00
5.47;       839.00
5.56;       839.00
5.64;       839.00
5.71;       837.00
5.87;       837.00
5.93;       835.00
6.00;       835.00
6.12;       837.00
6.18;       839.00
6.30;       839.00
6.42;       839.00
6.48;       839.00
6.61;       839.00
6.68;       839.00
6.80;       839.00
6.86;       839.00
6.99;       839.00
7.06;       839.00
7.12;       839.00
7.24;       839.00
7.31;       839.00
7.43;       839.00
7.49;       839.00
7.61;       839.00
7.69;       839.00
7.80;       839.00
7.92;       839.00
7.98;       839.00
8.10;       839.00
8.16;       839.00
8.28;       839.00
8.34;       839.00
8.46;       839.00
8.58;       839.00
8.63;       839.00
8.75;       839.00
8.81;       839.00
8.94;       839.00
9.00;       839.00
9.12;       839.00
9.18;       839.00
9.30;       839.00
9.42;       839.00
9.48;       839.00
9.60;       839.00
9.66;       839.00
9.75;       839.00
9.87;       839.00
9.93;       839.00
10.04;       839.00
10.16;       839.00
10.21;       839.00
10.32;       839.00
10.44;       839.00
10.49;       839.00
10.61;       839.00
10.68;       839.00
10.79;       839.00
10.91;       839.00
10.96;       839.00
11.07;       839.00
11.19;       839.00
11.24;       839.00
11.35;       839.00
11.47;       839.00
11.52;       839.00
11.64;       839.00
11.75;       839.00
11.81;       839.00
11.94;       839.00
12.00;       839.00
12.11;       837.00
12.22;       835.00
12.28;       835.00
12.39;       837.00
12.51;       837.00
12.56;       839.00
12.67;       839.00
12.78;       839.00
12.84;       839.00
12.95;       839.00
13.07;       839.00
13.12;       839.00
13.24;       839.00
13.35;       839.00
13.40;       839.00
13.51;       839.00
13.63;       839.00
13.69;       839.00
13.82;       839.00
13.88;       839.00
13.99;       839.00
14.11;       839.00
14.16;       839.00
14.27;       839.00
14.39;       839.00
14.44;       839.00
14.55;       839.00
14.67;       839.00
14.72;       839.00
14.84;       839.00
14.90;       839.00
15.01;       839.00
15.14;       839.00
15.20;       839.00
15.40;       839.00
15.59;       839.00
15.66;       839.00
15.72;       839.00
15.78;       839.00
15.84;       839.00
15.90;       839.00
15.96;       839.00
16.09;       839.00
16.15;       839.00
16.26;       839.00
16.32;       839.00
16.45;       839.00
16.53;       839.00
16.59;       839.00
16.72;       839.00
16.79;       839.00
16.91;       839.00
16.97;       839.00
17.09;       839.00
17.20;       839.00
17.26;       839.00
17.38;       839.00
17.44;       839.00
17.55;       839.00
17.96;       839.00
18.02;       839.00
18.08;       839.00
18.13;       839.00
18.19;       839.00
18.25;       839.00
18.30;       839.00
18.36;       839.00
18.41;       837.00
18.47;       835.00
18.58;       835.00
18.70;       835.00
18.75;       837.00
18.87;       839.00
18.98;       839.00
19.04;       839.00
19.15;       839.00
19.21;       839.00
19.32;       839.00
19.40;       839.00
19.51;       839.00
19.63;       839.00
19.68;       839.00
19.80;       839.00
19.92;       839.00
19.97;       839.00
20.09;       839.00
20.15;       839.00
20.26;       839.00
20.37;       839.00
20.43;       839.00
20.55;       839.00
20.66;       839.00
20.72;       839.00
20.83;       839.00
20.95;       839.00
21.00;       839.00
21.11;       839.00
21.22;       839.00
21.28;       839.00
21.39;       839.00
21.51;       839.00
21.56;       839.00
21.70;       839.00
21.76;       839.00
21.87;       839.00
21.93;       839.00
22.05;       839.00
22.16;       839.00
22.22;       839.00
22.34;       839.00
22.45;       839.00
22.51;       839.00
22.62;       839.00
22.68;       839.00
22.79;       839.00
22.91;       839.00
22.96;       839.00
23.08;       839.00
23.19;       839.00
23.24;       839.00
23.36;       839.00
23.47;       839.00
23.55;       839.00
23.66;       839.00
23.72;       839.00
23.83;       839.00
23.94;       839.00
24.00;       839.00
24.11;       839.00
24.22;       839.00
24.28;       839.00
24.39;       839.00
24.50;       839.00
24.56;       839.00
24.67;       839.00
24.79;       836.00
24.85;       836.00
24.97;       836.00
25.08;       836.00
25.13;       836.00
25.25;       839.00
25.36;       839.00
25.42;       839.00
25.49;       839.00
25.60;       839.00
25.72;       839.00
25.78;       839.00
25.89;       839.00
26.00;       839.00
26.06;       839.00
26.17;       839.00
26.28;       839.00
26.34;       839.00
26.45;       839.00
26.56;       839.00
26.62;       839.00
26.74;       839.00
26.85;       839.00
26.91;       839.00
27.02;       839.00
27.13;       839.00
27.19;       839.00
27.30;       839.00
27.42;       839.00
27.47;       839.00
27.59;       839.00
27.70;       839.00
27.76;       839.00
27.87;       839.00
